rail_zenith[°],  wind_angle[°],  wind_speed[m/s], acc_noise[m/s²], gyro_noise[m/s²], baro_noise[m/s²], wind_gust_x[m/s], wind_gust_y[m/s], end_burn[s], used_propellant[kg], apogee_error[m], Kalman error_x[m], Kalman error_y[m], Kalman error_z[m]
5.50 105.87 5.37 0.16773 0.04418 0.99 7.44 1.43 6.55 8.86 -7.0 -18.8 0.8 0.1 -0.1 -1.0 -0.2 0.04655
4.55 159.12 4.50 0.09954 0.01863 0.56 4.23 0.13 6.53 8.76 -7.7 91.4 25.7 -0.3 4.6 1.4 0.6 0.04638
7.96 61.86 12.43 0.07129 0.04873 0.79 9.74 8.48 6.89 9.30 -82.4 85.7 -43.2 0.3 5.8 -4.2 2.5 0.04023
9.91 85.49 4.67 0.19161 0.02667 0.81 5.48 1.25 6.60 8.98 -8.7 -1013.1 3747.5 -9.7 0.2 -2.8 0.7 0.05366
4.90 28.19 10.57 0.13691 0.03583 0.97 2.37 6.89 7.25 9.40 -23.1 -12.1 -118.0 -0.5 0.1 -5.8 0.4 0.04361
6.35 1.93 7.82 0.03230 0.02615 0.76 8.82 2.81 6.89 9.16 -37.9 1.0 -30.3 -0.1 0.4 -2.4 0.4 0.05178
8.32 96.22 0.25 0.09616 0.02255 0.83 8.67 8.26 6.56 8.94 -37.4 5.7 -127.6 0.2 0.2 -6.8 0.1 0.04743
6.97 54.41 8.32 0.17915 0.04856 0.82 0.18 1.33 6.84 9.20 -67.4 -121.0 -129.5 0.4 -5.8 -8.0 0.1 0.04256
1.37 68.78 13.60 0.03652 0.00370 0.60 4.90 5.21 6.88 9.21 -29.2 16.7 4.4 -0.1 1.1 0.2 0.3 0.05561
1.19 96.22 12.79 0.07236 0.04017 0.33 2.18 9.75 6.99 9.25 -8.4 -122.1 83.6 0.1 -5.3 4.5 -0.9 0.04691
0.01 27.50 6.07 0.14460 0.04136 0.40 5.24 8.62 6.36 8.82 22.7 64.2 42.0 -0.2 2.6 1.1 0.3 0.04427
4.24 71.38 10.62 0.11056 0.03789 0.47 8.84 1.93 6.58 9.02 -2.1 25.9 -29.1 0.2 1.0 -1.9 0.2 0.05261
0.27 114.47 5.79 0.19537 0.01303 0.42 4.00 1.28 6.51 8.80 -35.5 20.5 -15.6 -0.2 0.6 -0.6 0.3 0.05251
4.23 132.38 6.13 0.10689 0.02786 0.35 8.35 5.09 6.42 8.79 -22.6 -45.5 -4.9 0.2 -2.1 -0.6 0.2 0.05108
8.84 81.50 0.18 0.06425 0.02018 0.10 9.85 8.35 6.59 8.99 -22.1 50.1 8.3 -0.0 2.4 0.3 -0.2 0.04281
0.34 93.60 6.44 0.19102 0.02715 0.01 9.60 6.07 6.53 8.81 17.5 9.5 -21.5 -0.0 1.2 -1.2 0.1 0.04616
0.43 139.71 11.00 0.04113 0.01505 0.14 1.01 6.43 6.85 9.08 -34.8 33.4 22.8 -0.0 1.9 1.3 -0.2 0.04296
