rail_zenith[°],  wind_angle[°],  wind_speed[m/s], acc_noise[m/s²], gyro_noise[m/s²], baro_noise[m/s²], wind_gust_x[m/s], wind_gust_y[m/s], end_burn[s], used_propellant[kg], apogee_error[m], Kalman error_x[m], Kalman error_y[m], Kalman error_z[m]
9.24 135.76 5.81 0.26402 0.01813 0.05 3.82 3.09 6.65 8.95 -1.2 104.8 9.9 -0.0 5.4 -0.1 -0.1 0.05477
1.45 154.99 3.45 0.26116 0.02266 0.32 5.92 9.27 6.59 8.86 2.2 26.3 -123.3 -0.2 1.4 -6.3 -0.4 0.03218
6.21 4.28 8.91 0.25393 0.01816 0.16 0.89 9.17 7.13 9.43 -27.5 13.4 -36.5 -0.0 2.1 -2.8 -1.0 0.02485
3.91 172.18 9.42 0.04704 0.03135 0.54 4.81 4.82 6.65 8.92 -7.0 -74.3 -85.9 -0.1 -3.8 -4.6 0.5 0.03859
7.82 179.82 2.59 0.14620 0.02986 0.93 0.18 5.98 6.68 8.93 7.2 3.4 11.5 0.2 0.6 0.6 -0.1 0.03254
4.72 9.07 14.67 0.14564 0.02874 0.64 6.85 4.23 7.50 9.75 -67.1 52.2 -55.6 -0.5 3.4 -4.7 1.1 0.03346
2.78 3.48 9.02 0.24935 0.00175 0.71 7.41 8.39 10.66 8.51 -522.7 10.0 1.6 -0.1 0.4 0.1 -0.2 0.02271
9.09 8.31 13.79 0.04036 0.01731 0.93 6.03 3.73 8.35 10.23 -63.3 -12.0 217.6 -0.1 -1.4 9.7 -0.8 0.04360
3.95 27.16 12.08 0.03068 0.02340 0.42 7.31 1.62 7.12 9.40 -37.0 -161.8 -179.5 0.0 -7.8 -8.3 1.0 0.05873
1.89 74.08 8.57 0.03710 0.04832 0.53 6.78 4.77 6.70 9.03 -7.8 24.0 -93.9 -0.0 1.0 -4.5 0.2 0.03676
3.82 5.60 13.44 0.07595 0.00693 0.11 9.25 0.52 7.19 9.48 -45.5 -14.4 22.3 0.0 -0.6 1.0 0.4 0.04344
9.66 83.65 2.35 0.01049 0.03138 0.96 6.53 5.47 6.84 9.10 -18.3 -211.8 71.1 0.7 -10.3 4.2 0.2 0.05165
6.17 157.18 8.48 0.23617 0.03308 0.38 6.45 5.04 6.56 8.89 2.9 31.8 24.9 0.1 0.7 1.8 0.2 0.05836
8.48 178.63 7.09 0.17810 0.00324 0.16 5.03 5.43 6.54 8.86 2.4 -1.9 23.1 0.0 -0.1 0.9 0.1 0.05394
4.53 81.60 9.13 0.14936 0.04250 0.18 1.73 3.75 6.81 9.11 -40.3 -215.7 -36.6 0.1 -11.7 -1.5 1.1 0.04029
7.57 174.16 8.01 0.22773 0.03904 0.76 8.12 2.46 6.53 8.84 -3.6 -100.7 103.4 -0.2 -6.5 4.7 0.5 0.05431
5.59 79.18 13.66 0.08002 0.04600 0.15 2.09 4.77 7.23 9.55 -26.7 -56.5 95.2 0.0 -3.3 5.3 -0.6 0.03229
3.40 46.72 11.88 0.01132 0.02956 0.29 6.79 1.15 7.07 9.36 -14.2 -139.0 -15.2 -0.1 -7.0 -0.6 -0.8 0.03711
9.62 115.02 13.58 0.19745 0.01276 0.08 3.81 3.46 7.02 9.31 -23.4 -30.4 87.1 0.0 -2.4 3.4 -0.3 0.05505
4.72 138.56 0.79 0.28820 0.03240 0.29 3.97 6.95 6.65 8.92 12.7 -127.1 17.6 -0.1 -7.6 1.3 0.0 0.05616
0.12 55.61 10.62 0.22786 0.00515 0.58 3.37 7.90 6.83 9.14 -10.0 3.9 -31.1 -0.0 1.0 -0.9 0.1 0.04313
5.77 153.14 1.08 0.11755 0.00135 0.25 0.85 1.60 6.61 8.90 7.3 -6.8 -12.0 0.1 -0.5 -0.2 -0.6 0.03505
4.82 177.53 12.64 0.12251 0.00255 0.10 9.36 7.52 6.69 8.96 -3.1 -24.9 7.9 0.0 -0.9 0.4 -0.0 0.02453
6.99 148.15 14.27 0.25955 0.04753 0.94 8.53 2.78 6.86 9.10 11.7 -42.3 332.9 0.0 -0.5 18.3 -0.8 0.03739
0.03 153.64 8.93 0.26936 0.04185 0.27 3.54 1.44 6.79 9.05 -8.8 227.2 -225.0 -0.1 13.2 -12.5 0.1 0.02932
8.18 119.10 7.81 0.12241 0.02656 0.82 7.75 5.82 6.71 9.02 -1.0 94.5 141.7 0.7 3.8 7.8 -0.6 0.05318
2.03 77.33 4.42 0.22954 0.00151 0.34 8.90 5.80 6.56 8.86 -15.3 22.2 -18.3 -0.1 0.5 -0.4 0.6 0.02741
3.94 54.23 4.43 0.16130 0.01293 0.26 9.74 7.62 6.64 8.94 4.9 53.9 -13.3 0.1 2.2 -0.3 -0.6 0.05814
1.79 135.69 4.60 0.13096 0.01738 0.50 1.57 5.04 6.67 8.90 10.0 68.4 108.6 -0.2 4.5 5.5 -0.7 0.04674
2.37 176.50 11.43 0.03577 0.04490 0.29 4.27 2.63 6.83 9.07 -9.4 -215.1 -47.5 -0.1 -11.4 -2.3 0.6 0.02983
6.08 73.33 9.43 0.04330 0.02445 0.71 3.79 9.67 7.17 9.41 -32.5 102.6 104.5 -0.7 5.8 6.1 -0.2 0.05765
6.89 41.47 10.02 0.02500 0.02397 0.37 4.13 7.10 7.22 9.49 -44.5 56.5 3.7 0.1 2.3 0.1 -0.2 0.02048
1.90 116.23 0.34 0.12011 0.04080 0.38 9.03 5.17 6.59 8.86 3.9 -18.0 16.0 0.4 0.3 -1.3 0.5 0.03946
